Company_Name_1,Company_Name_2,Ground_Truth,Similarity,Prediction,Result
vodafone,vodacom,0,0.0000,0,Match
bny mellon,national association,0,0.0000,0,Match
ubisoft,ubis,0,0.0000,0,Match
hinduja group,the hindu group,0,0.0000,0,Match
ferrari,ferrero,0,0.0000,0,Match
salvatore ferragamo,ferragamo finanziaria spa,0,0.0000,0,Match
meta materials,meta platforms (facebook),0,0.0000,0,Match
uniqlo,uniqa,0,0.0000,0,Match
bad dolly limited,dolly noire,0,0.0000,0,Match
meitis,metis,0,0.0000,0,Match
hermes corporate and finances (uk) limited,hermes reply srl,0,0.0000,0,Match
universal music group,universal cables,0,0.0000,0,Match
american vanguard,vanguard group,0,0.0000,0,Match
moretti motor company,birra moretti,0,0.0000,0,Match
burger king,berger paints,0,0.0000,0,Match
louis vuitton,louis philippe,0,0.0000,0,Match
apple,apollo,0,0.7600,1,Mismatch
rai pubblicita' spa,rai,0,0.0000,0,Match
axe,axel mark,0,0.0000,0,Match
barista lavazza (india),lavazza,0,0.0000,0,Match
eastman chemical company,eastman kodak company,0,0.0000,0,Match
sky lab infotech,skytech,0,0.0000,0,Match
pixart imaging,pixar,0,0.0000,0,Match
eni plenitude spa societa' benefit,apeiron societa' benefit spa,0,0.0000,0,Match
paramount health services tpa,paramount pictures international limited,0,0.0000,0,Match
nitto boseki co. ltd,nitto boseki,0,0.0000,0,Match
mclaren automotive limited,mclaren construction group plc,0,0.0000,0,Match
bigbasket,milkbasket,0,0.0000,0,Match
viatris,viacomcbs inc.,0,0.0000,0,Match
pizza pizza,pizza hut,0,0.0000,0,Match
easier finances limited,clearer finances limited,0,0.0000,0,Match
new age clothes ltd,new age laundry ltd,0,0.0000,0,Match
good company limited,good and evil capital ltd,0,0.0000,0,Match
telus,telos,0,0.9067,1,Mismatch
jgc corporation,jgc holdings corp,1,0.0000,0,Mismatch
airbus americas customer services,airbus group,1,0.0000,0,Mismatch
pepsico,pepsi-cola metropolitan bottling company,1,0.0000,0,Mismatch
coca-cola company,coca-cola,1,0.0000,0,Mismatch
apollomedics super speciality hospitals,apollo medical holdings,1,0.0000,0,Mismatch
supreme industries,supreme engineering ltd,1,0.0000,0,Mismatch
amazon digital uk limited,amazon online uk limited,1,0.0000,0,Mismatch
unicoop firenze soc coop,unicoop tirreno soc coop,1,0.0000,0,Mismatch
ford india,chennai ford,1,0.0000,0,Mismatch
amway corp,amway international inc.,1,0.0000,0,Mismatch
timkensteel,timken company,1,0.0000,0,Mismatch
bosch rexroth india,bosch india,1,0.0000,0,Mismatch
dominos pizza,domino's pizza enterprises limited,1,0.0000,0,Mismatch
the walt disney company,disney incorporated,1,0.0000,0,Mismatch
rai,rai way,1,0.8667,1,Match
xinyi automobile glass hong kong enterprises ltd,xinyi glass holdings,1,0.0000,0,Mismatch
columbia banking system,columbia financial,1,0.0000,0,Mismatch
tata starbucks,tata coffee,1,0.0000,0,Mismatch
fox corporation,fox factory holding corp,1,0.0000,0,Mismatch
software & support media ltd,software media ltd,1,0.0000,0,Mismatch
pt pelayaran tamarin samudra tbk,pt pelayaran nasional bina buana raya tbk,1,0.0000,0,Mismatch
pt bumi teknokultura unggul tbk,pt bumi citra permai tbk,1,0.0000,0,Mismatch
b3 s.a. - brasil,bolsa,1,0.0000,0,Mismatch
ooh!media limited,new age digital media limited,1,0.0000,0,Mismatch
jpmorgan japanese investment trust plc,jpmorgan japan small cap growth & income plc,1,0.0000,0,Mismatch
baillie gifford shin nippon plc,baillie gifford european growth trust plc,1,0.0000,0,Mismatch
asian marine services public company ltd,asian sea corp public company ltd,1,0.0000,0,Mismatch
ooh!media limited,new age digital media limited,1,0.0000,0,Mismatch
formet celik kapi sanayi ve ticaret a.s.,adel kalemcilik ticaret ve sanayi a.s.,1,0.0000,0,Mismatch
technology reply srl,reply,1,0.0000,0,Mismatch
ovs spa,ovs s.p.a. ,1,0.0000,0,Mismatch
nerolac paints,kansai paint co. ltd,1,0.0000,0,Mismatch
pt intikeramik alamasri industri tbk,pt kawasan industri jababeka tbk,0,0.0000,0,Match
pt karya bersama anugerah tbk,pt anugerah kagum karya utama tbk,0,0.0000,0,Match
the mediterranean and gulf cooperative insurance and reinsurance company,gulf union alahlia cooperative insurance company,0,0.0000,0,Match
fincantieri spa,finarvedi spa,0,0.0000,0,Match
f.i.l.a. - fabbrica italiana lapis ed affini s.p.a.,enel spa,0,0.0000,0,Match
ryanair,rayonier,0,0.0000,0,Match
rayonier inc.,rayonier advanced materials,0,0.0000,0,Match
bwx limited,bmw services limited,0,0.0000,0,Match
thaivivat insurance public company ltd,thai sugar terminal public company ltd,0,0.0000,0,Match
eco life japan,global japan,0,0.0000,0,Match
u fantasy ltd,fantasy network ltd,0,0.0000,0,Match
decathlon france careers,decathlon italia srl,0,0.0000,0,Match
ali' spa,ali' group srl,0,0.0000,0,Match
rana motors,pastificio rana spa,0,0.0000,0,Match
ferriera valsider spa,ferrari,0,0.0000,0,Match
hd insurance,db insurance,0,0.0000,0,Match
bulgarian air charter,bulgarian energy holding,0,0.0000,0,Match
euroafrica interconnector,euroasia interconnector,0,0.0000,0,Match
universita' degli studi roma tre,universita' degli studi di roma la sapienza,0,0.0000,0,Match
atlantic navigation holdings,north atlantic smaller companies,0,0.0000,0,Match
luks group (vietnam holdings) company ltd,vietnam holding ltd,0,0.0000,0,Match
steel city securities ltd,millcon steel public company ltd,0,0.0000,0,Match
phoenix media investment,media investment optimization,0,0.0000,0,Match
telepass spa,telepassport telecommunications,0,0.0000,0,Match
s a ford construction limited,ford romania,0,0.0000,0,Match
maroc telecom sa,telecom egypt co,0,0.0000,0,Match
mcdonald,mott macdonald,0,0.0000,0,Match
sony music entertainment,sony music publishing (us) llc,1,0.0000,0,Mismatch
air india sats airport services,airports authority of india,0,0.0000,0,Match
bulgartabac,bulgari spa,1,0.0000,0,Mismatch
big baboon,bad ass baboon group ltd,0,0.0000,0,Match
bad boy bullyz ltd,bad boy motorz ltd,0,0.0000,0,Match
Bad Monkey Pictures,Bad Monkey Limited,0,0.0000,0,Match
amazon,amazon web services inc,1,0.0000,0,Mismatch
maruti suzuki,suzuki motor gujarat,1,0.0000,0,Mismatch
hyundai motor,hyundai engineering and construction,1,0.0000,0,Mismatch
european residential real estate investment trust,schroder real estate investment trust limited,1,0.0000,0,Mismatch
unifirst corporation,unisys corporation,1,0.0000,0,Mismatch
apple inc.,apple insurance & financial services,1,0.0000,0,Mismatch
vodafone czech republic,vodafone corporate limited,1,0.0000,0,Mismatch
reliance capital,reliancesmart.in,1,0.0000,0,Mismatch
fuji media holdings,fujifilm holdings corporation,1,0.0000,0,Mismatch
h & a consortium ltd,s a consultancy limited,1,0.0000,0,Mismatch
toagosei,dukes,0,0.3833,1,Mismatch
dxy,dexia,0,0.6889,1,Mismatch
essentra,esentire,0,0.8667,1,Mismatch
ibm,wibmo,0,0.8667,1,Mismatch
nse,nhoa sa,0,0.4921,1,Mismatch
cibc,sabic,0,0.6333,1,Mismatch
startek,stratec se,0,0.8108,1,Mismatch
le panier,lupin,0,0.6648,1,Mismatch
beauty benefits ltd,beauty boutique kensington ltd,1,0.0000,0,Mismatch
s a fashion trading ltd,s a group holdings limited,1,0.0000,0,Mismatch
